ID,英文名稱,中文名稱,圖片,化學式,更新日期
524003,salophen,沙洛芬 {柳酸对-乙醯胺苯酯},,<p>C<sub>6</sub>H<sub>4</sub>(OH)COOC<sub>6</sub>H<sub>4</sub>NH(COCH<sub>3</sub>)</p>,2025-05-21
524004,Salol; phenyl salicylate,沙洛；柳酸苯酯,,HOC<Sub>6</Sub><Font>H</Font><Sub>4</Sub><Font>COOC</Font><Sub>6</Sub><Font>H</Font><Sub>5</Sub>,2023-01-17
524005,salocoll; phenocoll salicylate,沙洛科；柳酸非诺科,,C<Sub>6</Sub><Font>H</Font><Sub>4</Sub><Font>(OC</Font><Sub>2</Sub><Font>H</Font><Sub>5</Sub><Font>)NHCOCH</Font><Sub>2</Sub><Font>CH</Font><Sub>2</Sub><Font>C</Font><Sub>7</Sub><Font>H</Font><Sub>6</Sub><Font>O</Font><Sub>3</Sub>,2023-01-17
524006,salit; bornyl salicylate,柳酸【草(之上)+伯】酯,,HOC<Sub>6</Sub><Font>H</Font><Sub>4</Sub><Font>COOC</Font><Sub>10</Sub><Font>H</Font><Sub>17</Sub>,2023-01-17
524007,salipyrine,柳酸安替比林,,C<Sub>18</Sub><Font>H</Font><Sub>18</Sub><Font>N</Font><Sub>2</Sub><Font>O</Font><Sub>4</Sub>,2023-01-17
524008,salinaphthol; Betol,柳酸萘酯；比妥耳,,HOC<Sub>6</Sub><Font>H</Font><Sub>4</Sub><Font>COOC</Font><Sub>10</Sub><Font>H</Font><Sub>7</Sub>,2023-01-17
524009,saligenin-2-methyl ether,柳醇-2-甲醚,,<p>CH<sub>3</sub>OC<sub>6</sub>H<sub>4</sub>CH<sub>2</sub>OH</p>,2025-05-21
524010,saligenin; salicylalcohol,柳醇,,C<Sub>6</Sub><Font>H</Font><Sub>4</Sub><Font>(OH)CH</Font><Sub>2</Sub><Font>OH</Font>,2023-01-17
524011,"2-salicylylresorcinol; 2,2',6-trihydroxy-benzophenone","2-柳醯间苯二酚；2,2',6-三羟二苯基酮",,HOC<Sub>6</Sub><Font>H</Font><Sub>4</Sub><Font>COC</Font><Sub>6</Sub><Font>H</Font><Sub>3</Sub><Font>(OH)</Font><Sub>2</Sub>,2023-01-17
524012,salicylresorcinol,柳醯间苯二酚,,HOC<Sub>6</Sub><Font>H</Font><Sub>4</Sub><Font>COC</Font><Sub>6</Sub><Font>H</Font><Sub>3</Sub><Font>(OH)</Font><Sub>2</Sub>,2023-01-17
524013,salicyloyl salicylic acid,柳醯柳酸,,HOC<Sub>6</Sub><Font>H</Font><Sub>4</Sub><Font>COOC</Font><Sub>6</Sub><Font>H</Font><Sub>4</Sub><Font>COOH</Font>,2023-01-17
524014,"p-salicyloylphenol; 2,4'-dihydroxybenzophenone","对-柳醯[苯]酚；2,4'-二羟二苯基酮",,<p>HOC<sub>6</sub>H<sub>4</sub>COC<sub>6</sub>H<sub>4</sub>OH</p>,2025-05-21
524015,salicylonitrile,柳腈,,HOC<Sub>6</Sub><Font>H</Font><Sub>4</Sub><Font>CN</Font>,2023-01-17
524016,salicylol,柳油,,C<Sub>7</Sub><Font>H</Font><Sub>8</Sub><Font>O</Font><Sub>2</Sub>,2023-01-17
524017,salicylic anhydride,柳[酸]酐,,(HOC<Sub>6</Sub><Font>H</Font><Sub>4</Sub><Font>CO)</Font><Sub>2</Sub><Font>O</Font>,2023-01-17
524018,salicylic amide,柳醯胺,,HOC<Sub>6</Sub><Font>H</Font><Sub>4</Sub><Font>CONH</Font><Sub>2</Sub>,2023-01-17
524019,salicylic aldehyde,柳醛；邻-羟苯甲醛,,<p>HOC<sub>6</sub>H<sub>4</sub>CHO</p>,2025-05-21
524020,salicylic acid propyl ester,柳酸丙酯,,HOC<Sub>6</Sub><Font>H</Font><Sub>4</Sub><Font>COOC</Font><Sub>3</Sub><Font>H</Font><Sub>7</Sub>,2023-01-17
524021,salicylic acid phenyl ether; o-phenoxybenzoic acid,柳酸苯醚；邻-苯氧基苯甲酸,,<p>C<sub>6</sub>H<sub>5</sub>OC<sub>6</sub>H<sub>4</sub>COOH</p>,2025-05-21
524022,salicylic acid phenyl ester,柳酸苯酯,,HOC<Sub>6</Sub><Font>H</Font><Sub>4</Sub><Font>COOC</Font><Sub>6</Sub><Font>H</Font><Sub>5</Sub>,2023-01-17
524023,salicylic acid 1-naphthyl ester,柳酸1-萘酯,,HOC<Sub>6</Sub><Font>H</Font><Sub>4</Sub><Font>COOC</Font><Sub>10</Sub><Font>H</Font><Sub>7</Sub>,2023-01-17
524024,salicylic acid methyl ether; o-methoxybenzoic acid,柳酸甲醚；邻-甲氧苯甲酸,,<p>CH<sub>3</sub>OC<sub>6</sub>H<sub>4</sub>COOH</p>,2025-05-21
