ID,英文名稱,中文名稱,圖片,審譯日期,來源,更新日期
5448712,antileproatics,抗麻风药,,107.01.18,nan,2023-01-17
5448713,antimalarial agents,抗疟疾药,,nan,nan,2023-01-17
5448714,antimalarials,抗疟疾药,,nan,nan,2023-01-17
5448715,antimaniacs,抗躁狂药,,nan,nan,2023-01-17
5448716,antimetabolites,抗代谢药,,nan,nan,2023-01-17
5448717,antimicrobial agents,抗微生物剂,,nan,nan,2023-01-17
5448718,antimicrobial spectrum,抗菌范围,,nan,nan,2023-01-17
5448719,antimicrobials,抗微生物剂；抗菌剂,,nan,国编馆,2023-01-17
5448720,antimigraine agents,抗偏头痛药,,107.01.18,nan,2023-01-17
5448721,antimony potassium tartrate,吐酒石；酒石酸锑钾,,103.06.19,nan,2023-01-17
5448722,antimony trichloride,三氯化锑,,107.05.14,通则试药与溶液,2023-01-17
5448723,antimyasthenics,抗重症肌无力药,,nan,nan,2023-01-17
5448724,antimycobacterial agents,抗分枝杆菌药,,nan,nan,2023-01-17
5448725,antinematode agents,抗线虫剂,,nan,nan,2023-01-17
5448726,antineoplastics,抗恶性肿瘤药,,nan,nan,2023-01-17
5448727,antineuralgics,抗神经痛药,,nan,国编馆,2023-01-17
5448728,antineutropenics,抗嗜中性白血球过低药,,nan,nan,2023-01-17
5448729,antiobesity drugs,抗肥胖药,,nan,nan,2023-01-17
5448730,anti-osteoporotics,抗骨质疏松剂,,nan,nan,2023-01-17
5448731,antioxidant,抗氧化剂,,nan,nan,2023-01-17
5448732,antiparalytics,抗麻痺药,,nan,nan,2023-01-17
5448733,antiparasitics,抗寄生虫药,,nan,国编馆,2023-01-17
5448734,antiparkinsonian agents,抗帕金森病药,,nan,nan,2023-01-17
5448735,antiparkinsonism drugs,抗帕金森症药,,nan,nan,2023-01-17
5448736,antipolycythemics,抗红血球增生药,,nan,nan,2023-01-17
5448737,antiprotozoal drugs,抗原虫药,,nan,nan,2023-01-17
5448738,antipruritics,止痒剂,,nan,国编馆,2023-01-17
5448739,antipsoriatics,抗牛皮癣剂(药),,107.01.18,nan,2023-01-17
5448740,antipsychotics,抗精神病药,,nan,nan,2023-01-17
5448741,antipyretic analgesics,解热镇痛剂(药),,107.01.18,nan,2023-01-17
5448742,antipyretics,解热剂(药),,107.01.18,国编馆,2023-01-17
5448743,antiradiation drugs,抗辐射药,,nan,nan,2023-01-17
5448744,antirheumatics,抗风湿剂(药),,107.01.18,国编馆,2023-01-17
5448745,antirheumatoid agents,抗类风湿药,,nan,nan,2023-01-17
5448746,antiscabietics,抗疥虫剂(药),,107.01.18,nan,2023-01-17
5448747,antischistosomal agents,抗血吸虫药,,nan,nan,2023-01-17
5448748,antischistosomal drugs,抗血吸虫病药,,102.05.13,中华无菌制剂协会,2023-01-17
5448749,antischizophrenics,抗精神分裂症剂(药),,107.01.18,nan,2023-01-17
5448750,antiseborrhoics,抗脂漏剂(药),,107.01.18,nan,2023-01-17
5448751,antisecretory drugs,抑酸剂；抑分泌药,,107.01.18,Remington,2023-01-17
5448752,antisense drugs,反意药；反义药,,102.06.13,nan,2023-01-17
5448753,antiseptics,抗菌剂；防腐剂,,107.01.18,nan,2023-01-17
5448754,antisera,抗血清,,104.07.09,Remington,2023-01-17
5448755,antispasmodics,解痉剂(药),,107.01.18,中华无菌制剂协会,2023-01-17
5448756,antitapeworm drugs,驱绦虫药,,nan,nan,2023-01-17
5448757,antithrombin,抗凝血酶,,nan,nan,2023-01-17
5448758,antithromboplastin,抗凝血激素,,nan,nan,2023-01-17
5448759,antithrombotics,抗血栓剂(药),,107.01.18,nan,2023-01-17
5448760,antithyroid agents,抗甲状腺剂,,nan,nan,2023-01-17
5448761,antithyroid drugs,抗甲状腺药,,nan,nan,2023-01-17
5448762,antitoxin,抗毒素,,103.02.13,中华药典,2023-01-17
5448763,antitrichomonal agents,抗滴虫剂,,nan,nan,2023-01-17
5448764,antitubercular agents,抗结核剂,,nan,nan,2023-01-17
5448765,antituberculosis drugs,抗结核病药,,nan,nan,2023-01-17
5448766,antitussive agents,镇咳剂,,nan,nan,2023-01-17
5448767,antitussives,镇咳剂(药),,107.01.18,nan,2023-01-17
5448768,antiulcer drugs,抗溃疡药,,nan,nan,2023-01-17
5448769,antiurolithics,抗尿路结石剂(药),,107.01.18,nan,2023-01-17
5448770,antivaricose agents,抗静脉曲张剂,,nan,nan,2023-01-17
5448771,antivenin,抗蛇毒血清,,nan,nan,2023-01-17
5448772,antivenomous serum,抗蛇毒血清,,nan,nan,2023-01-17
5448773,antivertigo agents,抗眩晕剂,,nan,nan,2023-01-17
5448774,antiviral agents,抗病毒剂,,nan,nan,2023-01-17
5448775,antivirals,抗病毒药,,nan,nan,2023-01-17
5448776,anxiolytics,抗焦虑剂(药),,107.01.18,nan,2023-01-17
5448777,aortic,主动脉的,,104.07.09,Remington,2023-01-17
5448778,aphrodisiacs,壮阳剂(药),,107.01.18,国编馆,2023-01-17
5448779,aplastic anemia,再生不良性贫血,,104.07.09,Remington,2023-01-17
5448780,apolipoprotein E,脂蛋白E,,104.07.09,Remington,2023-01-17
5448781,apomorphine hydrochloride,盐酸阿朴吗啡,,nan,化学药品,2023-01-17
5448782,apothecary,药局；药师,,104.07.09,Remington,2023-01-17
5448783,apparent viscosity,拟黏稠度,,103.03.13,中华无菌制剂协会,2023-01-17
5448784,apparent volume of distribution,拟分布体积,,nan,nan,2023-01-17
5448785,appetite suppressants,食欲抑制药,,nan,nan,2023-01-17
5448786,apricot {Armeniacae Semen},杏仁,,103.06.19,中医药,2023-01-17
5448787,aqua regia,王水,,nan,国编馆,2023-01-17
5448788,aqueous,水性的,,104.07.09,Remington,2023-01-17
5448789,aquilaria {Aquilariae Lignum Resinatum},沉香,,103.06.19,中医药,2023-01-17
5448790,arabic gum,亚拉伯胶,,nan,国编馆,2023-01-17
5448791,arachis oil,花生油,,102.04.18,国立编译馆,2023-01-17
5448792,arctium seed {Arctii Fructus},牛蒡子；恶实,,103.07.17,中医药,2023-01-17
5448793,areca nut {Arecae Semen},槟榔,,103.06.19,中医药,2023-01-17
5448794,argon,氩,,104.07.09,Remington,2023-01-17
5448795,aripiprazole,阿立哌唑,,nan,化学药品,2023-01-17
5448796,arnica,山金车花,,107.01.18,健康食品,2023-01-17
5448797,aromatase inhibitors,芳香酶抑制剂,,101.02.09,nan,2023-01-17
5448798,aromatherapy,芳香疗法,,104.07.09,Remington,2023-01-17
5448799,aromatic bitters,芳香苦味剂,,nan,国编馆,2023-01-17
5448800,aromatic elixir,芳香酏,,nan,国编馆,2023-01-17
5448801,aromatic tincture,芳香酊,,nan,国编馆,2023-01-17
5448802,aromatic water,芳香水剂,,nan,国编馆,2023-01-17
5448803,arrhythmia,心律不整,,103.03.13,中华无菌制剂协会,2023-01-17
5448804,Artemisiae Argyi Folium,艾叶,,103.06.19,nan,2023-01-17
5448805,arthritis,关节炎,,103.03.13,nan,2023-01-17
5448806,articaine hydrochloride,盐酸阿替卡因,,nan,化学药品,2023-01-17
5448807,asbestos,石棉,,nan,国编馆,2023-01-17
5448808,as-built,竣工,,107.01.18,GMP,2023-01-17
5448809,ascaricide,驱蛔虫药,,101.05.17,nan,2023-01-17
5448810,ascorbic acid,抗坏血酸；维生素C,,2019.09.20,nan,2025-04-09
5448811,ascorbic acid {Vitamin C},抗坏血酸；维生素C,,<p>102.11.06</p>,<p>中华药典</p>,2025-03-25
5448812,asepsis,无菌,,nan,nan,2023-01-17
5448813,aseptic,无菌的,,nan,nan,2023-01-17
5448814,aseptic processing,无菌操作,,nan,nan,2023-01-17
5448815,ash,灰分,,nan,nan,2023-01-17
5448816,Asian wormwood herb {Artemisiae Argyi Folium},艾叶,,103.08.14,nan,2023-01-17
5448817,Asini Corii Gelatinum,阿胶,,103.06.19,中医药,2023-01-17
5448818,asparagus root {Asparagi Radix},天[门]冬,,103.06.19,中医药,2023-01-17
5448819,aspirin,阿斯匹林,,nan,nan,2023-01-17
5448820,ass hide gelatin {Asini Corii Gelatinum},阿胶,,103.06.19,中医药,2023-01-17
5448821,assay,含量测定 {药学},,nan,nan,2023-01-17
5448822,assessment,评估,,104.07.09,Remington,2023-01-17
5448823,assistant pharmacist,药剂生,,107.04.19,中华无菌制剂协会,2023-01-17
5448824,asthma,气喘,,104.07.09,Remington,2023-01-17
5448825,astragalus root {Astragali Radix},黄耆,,103.06.19,中医药,2023-01-17
5448826,astringents,收敛剂,,nan,nan,2023-01-17
5448827,at-line,线侧,,107.01.18,GMP,2023-01-17
5448828,atomic absorption spectroscopy {=AAS},原子吸收光谱学,,107.01.18,nan,2023-01-17
5448829,atorvastatin calcium,阿托伐他汀钙,,nan,化学药品,2023-01-17
5448830,atractylodes rhizome {Atractylodis Rhizoma},苍术,,103.06.19,中医药,2023-01-17
5448831,at-rest,静态,,107.01.18,GMP,2023-01-17
5448832,atrial fibrillation,心房纤维性颤动,,nan,nan,2023-01-17
5448833,atrial flutter,心房扑动,,nan,nan,2023-01-17
5448834,atrial tachycardia,心房节律加快,,nan,nan,2023-01-17
5448835,atropine sulfate,硫酸阿托品,,nan,<p>化学药品</p>,2025-09-15
5448836,atropisomer,构型异构,,nan,nan,2023-01-17
5448837,atypical,非典型的,,104.07.09,Remington,2023-01-17
5448838,AUC {area under curve},曲线下面积,,104.07.09,Remington,2023-01-17
5448839,audit,稽核；稽查,,104.06.11,GCP,2023-01-17
5448840,audit trail,稽查踪迹,,103.11.20,GMP,2023-01-17
5448841,auric chloride,三氯化金,,nan,国编馆,2023-01-17
5448842,autacoids,自泌素,,nan,nan,2023-01-17
5448843,authorized person,被授权人,,103.11.20,GMP,2023-01-17
5448844,autoclave,高压蒸气灭菌器,,nan,nan,2023-01-17
5448845,autoimmune disease,自体免疫疾病,,nan,nan,2023-01-17
5448846,autologous donation,自体捐血,,103.11.20,GMP,2023-01-17
5448847,autolysis,自溶,,nan,nan,2023-01-17
5448848,automatic ampule-filling and sealing machine,自动安瓿充填熔封机,,nan,nan,2023-01-17
5448849,autonomics,自主神经药物,,nan,nan,2023-01-17
5448850,autoradiography,放射显影法,,nan,nan,2023-01-17
5448851,auxiliary,辅助的,,104.07.09,Remington,2023-01-17
5448852,A-V nodal reciprocation,房室结逆向回转,,nan,nan,2023-01-17
5448853,A-V node,房室结,,nan,nan,2023-01-17
5448854,avocado,酪梨；鳄梨,,107.01.18,健康食品,2023-01-17
5448855,avoirdupois,英制重量单位,,104.07.09,Remington,2023-01-17
5448856,azeotrope,共沸液,,nan,nan,2023-01-17
5448857,azeotropic,共沸的,,107.01.18,中华无菌制剂协会,2023-01-17
5448858,azeotropic distillation,共沸蒸馏,,nan,nan,2023-01-17
5448859,azeotropic point,共沸点,,nan,nan,2023-01-17
5448860,azithromycin,亚兹索霉素,,nan,化学药品,2023-01-17
5448861,azo violet,偶氮紫,,nan,nan,2023-01-17
5448862,bacillus Calmette-Guerin vaccine {=BCG vaccine},卡介苗,,107.01.18,nan,2023-01-17
5448863,bacitracin,杆菌素,,nan,化学药品,2023-01-17
5448864,backbone,主链,,nan,nan,2023-01-17
5448865,bactericides,杀菌剂,,nan,nan,2023-01-17
5448866,bacteriostatic agents,抑菌剂,,nan,nan,2023-01-17
5448867,bacteriostatics,抑菌剂,,nan,nan,2023-01-17
5448868,baizhu,白术,,107.01.18,nan,2023-01-17
5448869,ball mill,球磨机,,nan,nan,2023-01-17
5448870,balsam,香胶,,nan,nan,2023-01-17
5448871,barberry,刺小蘗,,107.01.18,健康食品,2023-01-17
5448872,barbital,巴比妥；丙二醯脲,,<p>115.05.12</p>,nan,2026-05-20
5448873,barley sprout,[大]麦芽,,103.06.19,中医药,2023-01-17
5448874,barrier technology,屏障技术,,104.07.09,Remington,2023-01-17
5448875,basal medium,基本培养基,,101.07.12,中华无菌制剂协会,2023-01-17
5448876,baseline scale,基线刻度,,106.09.12,nan,2023-01-17
5448877,batch,批,,nan,nan,2023-01-17
5448878,batch number,批号,,nan,nan,2023-01-17
5448879,batch process,批次制程,,103.11.20,GMP,2023-01-17
5448880,batch record,批次纪录,,nan,nan,2023-01-17
5448881,batch records,批次纪录,,103.11.20,GMP,2023-01-17
5448882,batch release,批次放行,,103.11.20,GMP,2023-01-17
5448883,batch systems,批次系统,,103.11.20,GMP,2023-01-17
5448884,bathochromic shift,红移,,102.06.13,中华无菌制剂协会,2023-01-17
5448885,bayberry,蜡杨梅,,107.01.18,健康食品,2023-01-17
5448886,bearberry leaves,熊葡萄叶,,nan,国编馆,2023-01-17
5448887,bedfast patient,卧床病人,,104.07.09,Remington,2023-01-17
5448888,bee pollen,蜜蜂花粉,,103.09.11,健康食品,2023-01-17
5448889,bee venom,蜂毒,,101.06.07,nan,2023-01-17
5448890,belladonna,颠茄,,107.03.22,Remington,2023-01-17
5448891,belladonna extract,颠茄浸膏,,nan,国编馆,2023-01-17
5448892,bencao,本草,,103.08.14,nan,2023-01-17
5448893,Benedict reagent,本内迪克试剂,,102.03.14,中华无菌制剂协会,2023-01-17
5448894,bentonite,皂土,,nan,nan,2023-01-17
5448895,benzaldehyde,苯甲醛,,nan,nan,2023-01-17
5448896,benzene,苯,,107.05.14,通则试药与溶液,2023-01-17
5448897,benzene hexachloride {=BHC},六氯苯,,107.01.18,nan,2023-01-17
5448898,benzethonium chloride,苄索铵氯盐,,2019.12.17,nan,2025-04-09
5448899,benzocaine,苯唑卡因,,nan,化学药品,2023-01-17
5448900,benzoic acid,苯甲酸；安息香酸,,nan,国编馆,2023-01-17
5448901,benzoin,安息香,,nan,国编馆,2023-01-17
5448902,benzophenones,二苯甲酮类,,nan,nan,2023-01-17
5448903,benzoyl peroxide,过氧化苯醯,,nan,nan,2023-01-17
5448904,benzyl alcohol,芐醇；苯甲醇,,2019.12.17,nan,2025-04-09
5448905,benzylpenicillin benzathine,苄乙二胺青霉素,,nan,化学药品,2023-01-17
5448906,benzylpenicillin potassium,苄青霉素钾,,nan,化学药品,2023-01-17
5448907,berberine,小蘗(檗)碱,,107.01.18,国编馆,2023-01-17
5448908,berberine chloride,氯化小蘖(檗)碱,,107.01.18,nan,2023-01-17
5448909,bergamot,佛手柑,,103.06.19,中医药,2023-01-17
5448910,bergamot {Citri Sarcodactylis Fructus},佛手；佛手柑,,103.08.14,中医药,2023-01-17
5448911,beta cyclodextrin,β-环糊精,,108.04.25,nan,2023-01-17
5448912,betaine,甜菜碱,,nan,国编馆,2023-01-17
5448913,beta-lactam antibiotics,β -内醯胺抗生素,,107.01.18,Remington,2023-01-17
5448914,beta-lactamase inhibitors,β- 内醯胺酶抑制剂,,107.01.18,Remington,2023-01-17
5448915,betamethasone acetate,贝皮质醇乙酸酯,,107.10.18,nan,2023-01-17
5448916,betamethasone valerate,戊酸贝皮质醇,,nan,化学药品,2023-01-17
5448917,betel nut,槟榔,,103.06.19,nan,2023-01-17
5448918,bethanechol chlorine,氯化[口普]脂胆碱,,nan,化学药品,2023-01-17
5448919,betony,药水苏,,107.01.18,健康食品,2023-01-17
5448920,biguanides,缩二胍,,<p>114.05.27</p>,<p>Remington</p>,2025-07-03
5448921,bilberry fruit,越橘,,107.01.18,健康食品,2023-01-17
5448922,bile acids,胆酸,,104.07.09,Remington,2023-01-17
5448923,bile salts,胆盐,,nan,nan,2023-01-17
5448924,biliary excretion,胆汁分泌,,104.07.09,Remington,2023-01-17
5448925,bilirubin,胆红素,,nan,nan,2023-01-17
5448926,binder,黏合剂,,nan,nan,2023-01-17
5448927,bioadhesives,生物黏附剂,,107.01.18,Remington,2023-01-17
5448928,bioassay,生物活性检测,,nan,nan,2023-01-17
5448929,bioavailability,生体可用率,,nan,nan,2023-01-17
5448930,bioburden,负荷菌,,103.11.20,GMP,2023-01-17
5448931,biocompatibility,生物相容性,,nan,nan,2023-01-17
5448932,bioequivalence,生体相等性,,nan,nan,2023-01-17
5448933,biogenerator,生物反应器,,103.11.20,GMP,2023-01-17
5448934,biogenesis,生源；生合成,,nan,nan,2023-01-17
5448935,biogenetic synthesis,生合成,,nan,nan,2023-01-17
5448936,bio-hazard,生物危害,,103.11.20,GMP,2023-01-17
5448937,bioinformatics,生物资讯学,,105.04.22,nan,2023-01-17
5448938,bioisostere,生物类性体,,nan,nan,2023-01-17
5448939,biological auxiliary material,生物辅助材料,,103.11.20,GMP,2023-01-17
5448940,biological indicator {=BI},生物指示剂,,107.01.18,GMP,2023-01-17
5448941,biological potency,生物效价,,nan,nan,2023-01-17
5448942,biological products,生物制剂,,nan,nan,2023-01-17
5448943,biologics,生物制剂,,nan,nan,2023-01-17
5448944,biomacromolecule,生物巨分子,,nan,nan,2023-01-17
5448945,biomarker,生物标记,,104.04.16,GMP,2023-01-17
5448946,biomass,生物量,,nan,nan,2023-01-17
5448947,biomembrane,生物膜,,nan,nan,2023-01-17
5448948,biometrics,计量生物学,,105.10.20,nan,2023-01-17
5448949,biopharmaceutics,生物药剂学,,nan,nan,2023-01-17
5448950,biopharmacy,生物药学,,nan,nan,2023-01-17
5448951,biosafety level {=BSL},生物安全层级,,103.11.20,GMP,2023-01-17
5448952,biostatistics,生物统计学,,nan,nan,2023-01-17
5448953,biosynthesis,生合成,,nan,nan,2023-01-17
5448954,biosynthetic pathway,生合成途径,,nan,nan,2023-01-17
5448955,biotin,生物素,,104.07.09,Remington,2023-01-17
5448956,biotransformation,生物变换,,nan,nan,2023-01-17
5448957,biphosphonates,双磷酸盐类,,104.07.09,Remington,2023-01-17
5448958,birch oil,桦木油,,104.07.09,Remington,2023-01-17
5448959,bismuth oxynitrate,次硝酸铋,,nan,国编馆,2023-01-17
5448960,bismuth subgallate,次没食子酸铋,,nan,国编馆,2023-01-17
5448961,bismuth subnitrate,次硝酸铋,,nan,国编馆,2023-01-17
5448962,bismuth subsalicylate,次水杨酸铋,,nan,国编馆,2023-01-17
5448963,bitter almond,苦杏仁,,nan,国编馆,2023-01-17
5448964,bitter orange fruit {Aurantii Fructus},枳壳；枳实,,103.06.19,中医药,2023-01-17
5448965,bitter principles,苦味质,,nan,nan,2023-01-17
5448966,bitter stomachics,苦味健胃剂(药),,107.01.18,国编馆,2023-01-17
5448967,bitters,苦味健胃药,,nan,国编馆,2023-01-17
5448968,black cohosh,黑升麻,,107.01.18,健康食品,2023-01-17
5448969,black sesame seed {Sesami Nigrum Semen},黑芝麻,,107.01.18,中医药,2023-01-17
5448970,blank,空白 {试验；溶剂；液},,105.06.20,nan,2023-01-17
5448971,bleaching powder,漂白粉,,104.08.13,Remington,2023-01-17
5448972,blender,混合器,,nan,nan,2023-01-17
5448973,blinding,盲性,,nan,nan,2023-01-17
5448974,blister package,泡型包装,,101.11.14,中华无菌制剂协会,2023-01-17
5448975,blood coagulation,血液凝固,,nan,nan,2023-01-17
5448976,blood coagulation factors,凝血因子,,nan,nan,2023-01-17
5448977,blood donor,供血者,,104.08.13,Remington,2023-01-17
5448978,blood dyscrasias,恶血质；血液恶质,,104.08.13,Remington,2023-01-17
5448979,blood establishment,血液机构,,103.11.20,GMP,2023-01-17
5448980,blood glucose,血糖,,104.08.13,Remington,2023-01-17
5448981,blood lipids,血脂,,104.08.13,Remington,2023-01-17
5448982,blood plasma expanders,代用血浆,,104.08.13,Remington,2023-01-17
5448983,blood plasma extenders,血浆稀释剂,,104.08.13,Remington,2023-01-17
5448984,blood pressure management,血压管理,,104.08.13,Remington,2023-01-17
5448985,blood products,血液制剂,,nan,nan,2023-01-17
5448986,blood substitutes,血液代用品,,nan,nan,2023-01-17
5448987,blood testing,验血,,104.08.13,Remington,2023-01-17
5448988,blood urea nitrogen,血脲氮,,nan,nan,2023-01-17
5448989,blood-bank technology,血库技术,,104.08.13,Remington,2023-01-17
5448990,blood-brain barrier,血脑障壁,,nan,nan,2023-01-17
5448991,blood-clotting,血块,,104.08.13,Remington,2023-01-17
5448992,blood-retinal barrier,血液视网膜屏障,,104.11.20,nan,2023-01-17
5448993,blue cohosh,蓝升麻；葳严仙,,107.01.18,健康食品,2023-01-17
5448994,blue shift,蓝移,,102.06.13,中华无菌制剂协会,2023-01-17
5448995,bogus drugs,假药,,nan,nan,2023-01-17
5448996,boiling-point elevation,沸点上升,,104.08.13,Remington,2023-01-17
5448997,bolus,推注,,nan,nan,2023-01-17
5448998,bonding,键结,,104.08.13,Remington,2023-01-17
5448999,bonds,键,,104.08.13,Remington,2023-01-17
5449000,Bond's law,班氏定律,,104.08.13,Remington,2023-01-17
